Algorithm,Instance,MetricName,ExecutionId,MetricValue
Yolo3D,fold5,DSC,19,0.0547397725738488
Yolo3D,fold5,DSC,20,0.0607434188621399
Yolo3D,fold5,DSC,21,0.0649515666650096
Yolo3D,fold5,DSC,22,0.0612086774970662
Yolo3D,fold5,DSC,23,0.0539468560234366
Yolo3D,fold5,DSC,24,0.0634534121049501
Yolo3D,fold5,DSC,25,0.0590424220152566
Yolo3D,fold5,DSC,26,0.0601298098706622
Yolo3D,fold5,DSC,27,0.0610677483082582
Yolo3D,fold5,DSC,28,0.0489992722066891
Yolo3D,fold5,DSC,29,0.0584849543369922
Yolo3D,fold5,DSC,30,0.0698357555342425
Yolo3D-a,fold1,DSC,1,0.0930773966644482
Yolo3D-a,fold1,DSC,2,0.0930773966644482
Yolo3D-a,fold1,DSC,3,0.0955708261848522
Yolo3D-a,fold1,DSC,4,0.0959498516101131
Yolo3D-a,fold1,DSC,5,0.0885444536052536
Yolo3D-a,fold1,DSC,6,0.0963663982964742
Yolo3D-a,fold1,DSC,7,0.0934499784931155
Yolo3D-a,fold1,DSC,8,0.0913003135494951
Yolo3D-a,fold1,DSC,9,0.0933215668678332
Yolo3D-a,fold1,DSC,10,0.0859654630250872
Yolo3D-a,fold1,DSC,11,0.0918613099502311
Yolo3D-a,fold1,DSC,12,0.0833127976220507
Yolo3D-a,fold1,DSC,13,0.0926316227201523
Yolo3D-a,fold1,DSC,14,0.0922554842270182
Yolo3D-a,fold1,DSC,15,0.0994804211593606
Yolo3D-a,fold1,DSC,16,0.0919056286691063
Yolo3D-a,fold1,DSC,17,0.0995576099495406
Yolo3D-a,fold1,DSC,18,0.0936652997249798
Yolo3D-a,fold1,DSC,19,0.0983807642837971
Yolo3D-a,fold1,DSC,20,0.0977693980274494
Yolo3D-a,fold1,DSC,21,0.0979123949631139
Yolo3D-a,fold1,DSC,22,0.0907833815923753
Yolo3D-a,fold1,DSC,23,0.0952923347144521
Yolo3D-a,fold1,DSC,24,0.0991579628219474
Yolo3D-a,fold1,DSC,25,0.0996668634637848
Yolo3D-a,fold1,DSC,26,0.0889877315195072
Yolo3D-a,fold1,DSC,27,0.0945790499073893
Yolo3D-a,fold1,DSC,28,0.1000807249080035
Yolo3D-a,fold1,DSC,29,0.0851137534302515
Yolo3D-a,fold1,DSC,30,0.0982846913550906
Yolo3D-a,fold2,DSC,1,0.1173901180522291
Yolo3D-a,fold2,DSC,2,0.1173896909916836
Yolo3D-a,fold2,DSC,3,0.1240749191892794
Yolo3D-a,fold2,DSC,4,0.121346234684074
Yolo3D-a,fold2,DSC,5,0.1233290651358887
Yolo3D-a,fold2,DSC,6,0.1154849103013556
Yolo3D-a,fold2,DSC,7,0.1245318974588337
Yolo3D-a,fold2,DSC,8,0.1238356030125407
Yolo3D-a,fold2,DSC,9,0.124352221205067
Yolo3D-a,fold2,DSC,10,0.1155269186205454
Yolo3D-a,fold2,DSC,11,0.129063266561955
Yolo3D-a,fold2,DSC,12,0.1042815257693291
Yolo3D-a,fold2,DSC,13,0.110489544308443
Yolo3D-a,fold2,DSC,14,0.1174763760327333
Yolo3D-a,fold2,DSC,15,0.1270742081550134
Yolo3D-a,fold2,DSC,16,0.1154490488975441
Yolo3D-a,fold2,DSC,17,0.1185798582970795
Yolo3D-a,fold2,DSC,18,0.1108835774078744
Yolo3D-a,fold2,DSC,19,0.1138068276293517
Yolo3D-a,fold2,DSC,20,0.1129172442430336
Yolo3D-a,fold2,DSC,21,0.1200090020080569
Yolo3D-a,fold2,DSC,22,0.1201398338485856
Yolo3D-a,fold2,DSC,23,0.1072364773659813
Yolo3D-a,fold2,DSC,24,0.1191101789258179
Yolo3D-a,fold2,DSC,25,0.1109458538532166
