Algorithm,Instance,MetricName,ExecutionId,MetricValue
nnUNet3D,P49T1,IoU,4,0.5306185407990128
nnUNet3D,P50T1,DSC,4,0.7564822651381088
nnUNet3D,P50T1,IoU,4,0.6083405519118921
nnUNet3D,P51T1,DSC,4,0.8486711263785934
nnUNet3D,P51T1,IoU,4,0.7371231155778895
nnUNet3D,P52T1,DSC,4,0.8514536644457904
nnUNet3D,P52T1,IoU,4,0.741331575477917
nnUNet3D,P53T1,DSC,4,0.6201481481481481
nnUNet3D,P53T1,IoU,4,0.4494309641400043
nnUNet3D,P53T2,DSC,4,0.6888100612705579
nnUNet3D,P53T2,IoU,4,0.5253320216428923
nnUNet3D,GlobalV,DSC,5,0.7812211500992818
nnUNet3D,GlobalV,IoU,5,0.6530736326478236
nnUNet3D,GlovalT,DSC,5,0.7618228629108516
nnUNet3D,GlovalT,IoU,5,0.6229322478866826
nnUNet3D,P47T1,DSC,5,0.8051823416506718
nnUNet3D,P47T1,IoU,5,0.6738955823293172
nnUNet3D,P47T2,DSC,5,0.7097446586763939
nnUNet3D,P47T2,IoU,5,0.5500807754442649
nnUNet3D,P48T1,DSC,5,0.8693779298112251
nnUNet3D,P48T1,IoU,5,0.7689376961004034
nnUNet3D,P49T1,DSC,5,0.6985131287567226
nnUNet3D,P49T1,IoU,5,0.5367039377734565
nnUNet3D,P50T1,DSC,5,0.8358662613981763
nnUNet3D,P50T1,IoU,5,0.7180156657963447
nnUNet3D,P51T1,DSC,5,0.8220417205095071
nnUNet3D,P51T1,IoU,5,0.6978530010970068
nnUNet3D,P52T1,DSC,5,0.8404128622469234
nnUNet3D,P52T1,IoU,5,0.7247517973296816
nnUNet3D,P53T1,DSC,5,0.6303280805993283
nnUNet3D,P53T1,IoU,5,0.4602036967182195
nnUNet3D,P53T2,DSC,5,0.6449387825487153
nnUNet3D,P53T2,IoU,5,0.4759480783914482
nnUNet2D,GlobalV,DSC,6,0.7355209570945926
nnUNet2D,GlobalV,IoU,6,0.5956113685322106
nnUNet2D,GlovalT,DSC,6,0.6826685468929038
nnUNet2D,GlovalT,IoU,6,0.5307817933487962
nnUNet2D,P47T1,DSC,6,0.7789040228064619
nnUNet2D,P47T1,IoU,6,0.6378728923476005
nnUNet2D,P47T2,DSC,6,0.4414293112377007
nnUNet2D,P47T2,IoU,6,0.2832270069112174
nnUNet2D,P48T1,DSC,6,0.6960615094931744
nnUNet2D,P48T1,IoU,6,0.5338146811070998
nnUNet2D,P49T1,DSC,6,0.6822369830726377
nnUNet2D,P49T1,IoU,6,0.5177235772357723
nnUNet2D,P50T1,DSC,6,0.6892909704787464
nnUNet2D,P50T1,IoU,6,0.525891677675033
nnUNet2D,P51T1,DSC,6,0.8178789561354803
nnUNet2D,P51T1,IoU,6,0.691874119304838
nnUNet2D,P52T1,DSC,6,0.8507074632584362
nnUNet2D,P52T1,IoU,6,0.7402009810925371
nnUNet2D,P53T1,DSC,6,0.5566746602717826
nnUNet2D,P53T1,IoU,6,0.3856889676561807
nnUNet2D,P53T2,DSC,6,0.6308330452817145
nnUNet2D,P53T2,IoU,6,0.4607422368088866
nnUNet2D,GlobalV,DSC,7,0.5727905672573647
nnUNet2D,GlobalV,IoU,7,0.4250689312692601
nnUNet2D,GlovalT,DSC,7,0.7147313763577016
nnUNet2D,GlovalT,IoU,7,0.5611123298104419
nnUNet2D,P47T1,DSC,7,0.7774987443495731
nnUNet2D,P47T1,IoU,7,0.6359901396877568
nnUNet2D,P47T2,DSC,7,0.673798607573442
nnUNet2D,P47T2,IoU,7,0.5080665813060179
nnUNet2D,P48T1,DSC,7,0.7646813827571846
nnUNet2D,P48T1,IoU,7,0.6190155091031693
nnUNet2D,P49T1,DSC,7,0.6728628552901762
